method,power,fdp,v
mkn,0.875,0.0410958904109589,0
pkn,0,0,0
pkn,0,0,0.25
pkn,0,0,0.5
pkn,0.65,0,0.75
pkn,0.7625,0.031746031746031744,1
pkn,0.7875,0.03076923076923077,1.25
pkn,0.775,0.03125,1.5
pkn,0.8125,0.029850746268656716,1.75
pkn,0.8125,0.029850746268656716,2
pkn,0.825,0.043478260869565216,2.25
pkn,0.85,0.04225352112676056,2.5
pkn,0.85,0.04225352112676056,2.75
pkn,0.8625,0.041666666666666664,3
pkn,0.875,0.0410958904109589,3.25
pkn,0.875,0.0410958904109589,3.5
pkn,0.875,0.0410958904109589,3.75
pkn,0.875,0.0410958904109589,4
pkn,0.875,0.0410958904109589,4.25
pkn,0.9,0.05263157894736842,4.5
pkn,0.9,0.05263157894736842,4.75
pkn,0.9,0.05263157894736842,5
